scene_idx,tension_level,stakes_level,irreversibility_level,uncertainty_level,narrative_velocity,dependency_on_prior_scenes,resolution_progress,major_turning_point
0,1,1,1,1,1,1,0,False
1,2,2,2,4,3,1,1,False
2,5,4,3,4,5,1,2,False
3,5,5,3,4,4,2,2,False
4,5,5,4,4,4,2,3,False
5,5,4,2,4,3,4,1,False
6,4,5,3,4,2,5,1,False
7,1,1,1,2,2,1,1,False
8,2,2,1,3,1,1,1,False
9,3,2,1,3,1,1,1,False
10,1,1,1,1,1,1,1,False
11,2,1,1,2,2,1,2,False
12,5,4,3,4,4,3,6,False
13,4,4,2,4,2,2,1,False
14,3,2,1,1,2,2,1,False
15,2,2,1,1,1,2,0,False
16,5,5,4,4,3,2,1,False
17,5,4,3,3,3,4,1,False
18,1,1,1,1,1,2,0,False
19,5,5,3,4,3,2,1,False
20,3,2,1,2,1,2,0,False
21,5,5,3,4,4,3,1,False
22,5,5,4,5,4,4,1,True
23,5,5,4,4,4,4,1,False
24,4,5,3,4,2,4,1,False
25,3,4,1,4,1,5,0,False
26,5,5,5,4,5,5,3,True
27,5,4,4,4,4,5,2,False
28,5,5,5,4,4,5,1,False
29,4,4,3,4,4,5,1,False
30,4,4,2,4,1,5,1,False
31,5,5,5,4,4,5,4,True
32,2,1,1,3,1,2,1,False
33,2,5,5,1,1,5,4,False
34,2,2,1,1,1,4,1,False
35,1,1,1,1,1,2,0,False
36,1,2,3,1,1,4,1,False
37,2,2,2,1,1,4,1,False
38,3,4,4,4,2,4,2,False
39,4,4,5,4,3,4,3,False
40,2,3,3,2,2,4,1,False
41,1,2,1,1,1,4,1,False
42,4,5,4,3,3,4,2,False
43,4,5,5,3,3,5,2,False
44,3,3,2,2,2,4,1,False
45,1,1,1,1,1,3,1,False
46,2,2,2,1,1,4,1,False
47,3,2,1,2,3,4,1,False
48,3,4,2,3,3,4,2,False
49,2,2,1,2,2,2,1,False
50,2,2,1,3,1,2,1,False
51,4,4,3,2,2,4,2,False
52,1,1,1,1,1,3,1,False
53,4,5,2,3,4,4,1,False
54,2,3,1,3,2,2,1,False
55,2,3,2,3,2,3,1,False
56,4,5,2,4,2,4,2,False
57,3,3,4,2,2,3,1,False
58,1,2,1,1,1,3,1,False
59,1,2,3,2,2,2,1,False
60,5,4,4,3,3,5,2,False
61,1,2,1,1,1,3,1,False
62,2,3,1,1,1,3,1,False
63,2,2,1,2,1,3,1,False
64,2,2,1,2,2,3,1,False
65,3,3,1,4,1,3,1,False
66,4,4,2,5,2,4,2,False
67,4,4,2,5,1,4,2,False
68,3,2,1,5,1,4,1,False
69,3,2,1,4,1,4,1,False
70,2,2,1,3,1,3,0,False
71,5,5,4,4,3,4,1,False
72,1,1,1,2,1,2,0,False
73,4,4,2,4,2,3,2,False
74,4,4,3,4,3,4,3,False
75,2,3,2,2,2,4,1,False
76,4,4,2,3,3,4,1,False
77,5,5,3,4,3,4,1,False
78,1,1,1,1,1,2,0,False
79,5,5,4,4,4,4,1,False
80,5,5,3,4,3,4,2,False
81,5,5,4,4,3,4,2,False
82,2,2,1,2,1,4,1,False
83,5,5,4,4,3,4,1,True
84,3,4,5,3,4,4,4,False
85,4,4,4,3,3,4,5,False
86,4,5,5,4,3,4,2,True
87,3,2,1,2,1,4,1,False
88,2,1,1,1,1,3,0,False
89,4,4,3,4,2,4,1,False
90,5,5,4,4,2,4,1,False
91,5,5,4,4,2,5,2,False
92,5,4,5,4,1,5,2,False
93,5,5,4,5,1,5,3,False
94,5,5,3,5,1,5,3,False
95,5,4,4,5,1,5,4,False
96,5,5,3,5,1,5,1,False
97,5,4,3,4,1,5,1,False
98,5,5,2,4,1,5,1,False
99,5,5,2,5,2,5,1,False
100,5,5,3,4,1,5,2,False
101,5,5,4,4,2,5,3,False
102,5,5,3,4,3,5,4,False
103,4,5,4,4,2,5,3,False
104,1,2,2,2,1,3,1,False
105,4,4,5,4,2,3,3,False
106,2,2,1,2,2,3,1,False
107,3,3,2,2,2,4,2,False
108,2,2,1,2,2,4,1,False
109,2,2,3,2,2,4,1,False
110,2,2,2,1,1,4,2,False
111,4,3,1,3,2,4,2,False
112,2,2,2,1,1,4,1,False
113,2,2,1,2,1,4,1,False
114,2,2,1,3,2,4,1,False
115,4,5,5,3,3,4,4,True
116,5,5,5,4,3,5,2,False
117,2,2,1,3,1,4,1,False
118,3,4,3,3,2,4,2,False
119,5,5,4,4,4,5,4,True
120,5,5,3,4,4,4,2,False
121,2,3,4,3,1,5,2,False
122,1,2,2,2,1,5,1,False
123,5,4,3,5,4,4,1,False
124,5,4,4,4,5,4,3,True
125,2,2,1,1,1,4,1,False
126,3,3,4,3,2,4,2,False
127,2,3,2,2,1,4,2,False
128,4,4,5,2,2,5,4,True
129,2,2,1,2,1,5,1,False
130,3,2,2,3,1,5,1,False
131,4,3,2,4,1,5,1,False
132,5,4,4,3,2,5,2,False
133,5,5,4,4,4,5,3,True
134,2,3,4,2,2,5,4,False
135,2,2,2,3,1,5,1,False
136,5,5,4,4,4,4,2,True
137,5,5,4,3,3,4,3,True
138,5,4,4,4,2,5,2,False
139,2,2,1,2,1,5,1,False
140,4,4,5,4,2,5,3,False
141,4,4,3,5,2,4,1,False
142,3,4,2,4,1,5,1,False
143,4,5,2,4,1,5,1,False
144,5,5,4,4,2,5,2,False
145,5,5,4,4,3,5,6,True
146,5,5,4,3,2,5,8,False
147,5,5,4,4,4,5,12,False
148,5,5,5,4,4,5,16,True
149,2,4,5,2,2,5,8,False
150,3,4,1,4,2,5,2,False
151,3,3,2,4,2,4,4,False
152,2,4,4,2,2,5,8,False
153,4,5,5,4,4,4,3,True
154,5,5,4,4,4,5,2,False
155,5,5,2,5,2,5,1,False
156,5,4,3,5,2,5,1,False
157,3,4,3,2,2,5,4,False
158,5,5,5,2,5,5,5,True
159,4,5,5,2,3,5,6,False
160,3,4,5,2,2,5,8,False
161,2,4,4,2,2,5,9,False
162,3,5,5,1,2,5,10,False
