scene_idx,tension_level,stakes_level,irreversibility_level,uncertainty_level,narrative_velocity,dependency_on_prior_scenes,resolution_progress,major_turning_point
0,1,1,1,1,1,1,0,False
1,1,1,1,2,1,1,0,False
2,2,2,1,2,1,1,1,False
3,1,1,1,1,2,2,1,False
4,1,1,1,1,1,2,2,False
5,1,1,1,1,1,2,1,False
6,1,1,1,1,1,2,1,False
7,1,1,1,1,1,2,1,False
8,1,1,1,1,1,1,1,False
9,1,1,1,1,1,1,1,False
10,1,1,1,1,1,1,1,False
11,1,1,1,2,1,2,1,False
12,1,1,1,1,1,1,1,False
13,1,1,1,1,1,1,1,False
14,1,1,1,1,1,1,1,False
15,2,1,1,2,1,1,1,False
16,1,1,1,1,1,1,1,False
17,1,1,1,1,1,1,0,False
18,1,1,1,1,1,1,0,False
19,1,1,1,1,1,1,0,False
20,2,2,1,2,2,1,5,False
21,1,1,1,1,1,2,0,False
22,1,1,1,1,1,1,1,False
23,3,2,2,2,2,1,2,False
24,4,4,3,3,3,2,8,False
25,5,5,4,4,4,4,10,False
26,5,5,4,5,3,4,12,False
27,5,5,4,4,2,4,14,False
28,5,5,3,5,2,4,17,False
29,5,4,2,5,2,4,19,False
30,4,4,2,5,2,4,22,False
31,5,4,3,5,2,4,8,False
32,4,4,2,5,2,4,6,False
33,5,4,2,5,2,4,5,False
34,5,5,5,5,3,4,4,True
35,5,5,4,5,1,5,3,False
36,5,4,4,5,2,5,2,False
37,5,5,4,5,1,5,1,False
38,3,3,1,3,2,4,2,False
39,4,4,3,4,3,5,3,False
40,2,2,1,2,1,4,1,False
41,2,2,1,2,1,4,1,False
42,5,5,3,5,3,4,2,False
43,4,4,2,5,1,4,1,False
44,5,4,3,4,3,4,2,False
45,5,4,4,4,3,4,3,False
46,2,5,2,3,1,4,1,False
47,4,5,5,4,2,4,2,False
48,3,2,1,3,1,4,0,False
49,1,1,1,1,1,1,0,False
50,1,1,1,1,1,2,0,False
51,5,4,1,5,1,4,1,False
52,2,2,1,3,1,4,1,False
53,2,3,1,2,1,4,2,False
54,2,2,1,2,1,3,1,False
55,3,4,2,4,2,3,2,False
56,4,3,2,5,2,4,3,False
57,3,3,2,3,2,4,4,False
58,3,4,3,2,2,4,6,False
59,5,5,5,4,4,4,3,True
60,5,5,5,5,4,5,7,True
61,4,4,4,3,3,5,8,False
62,4,4,1,4,1,5,1,False
63,4,4,3,4,1,5,1,False
64,3,3,2,4,1,5,1,False
65,5,4,3,5,3,5,6,False
66,2,5,4,2,1,5,4,False
67,2,2,2,2,1,5,1,False
68,3,3,2,2,1,5,2,False
69,3,4,5,4,2,5,6,False
70,5,4,4,5,4,5,2,False
71,4,5,3,4,1,5,1,False
72,3,3,2,4,1,5,1,False
73,4,4,2,5,1,5,1,False
74,4,4,3,5,3,4,2,False
75,4,5,3,5,1,3,2,False
76,4,5,2,5,1,5,1,False
77,3,4,2,4,1,4,1,False
78,4,3,1,5,1,4,2,False
79,2,2,1,2,1,2,1,False
80,1,1,1,1,1,2,1,False
81,2,2,1,2,1,2,1,False
82,1,1,1,1,1,2,1,False
83,3,2,1,3,1,2,1,False
84,2,2,1,2,1,2,1,False
85,1,1,1,1,1,2,1,False
86,1,1,1,1,1,1,1,False
87,2,1,1,1,1,2,1,False
88,1,1,1,1,1,1,0,False
89,1,1,1,1,1,1,0,False
90,2,1,1,1,1,1,0,False
91,2,1,1,2,1,1,1,False
92,3,3,1,4,1,3,1,False
93,2,3,4,2,1,3,2,False
94,3,4,5,2,1,4,3,False
95,3,3,3,2,1,4,2,False
96,1,1,1,1,1,3,0,False
97,2,3,2,2,1,4,2,False
98,2,4,3,3,1,4,1,False
99,1,1,1,2,1,2,0,False
100,1,1,1,2,1,2,0,False
101,1,1,1,1,1,2,0,False
102,1,1,1,1,1,2,0,False
103,1,1,1,2,1,2,0,False
104,1,1,1,1,1,2,0,False
105,2,2,1,2,2,2,1,False
106,1,2,1,1,1,2,1,False
107,2,2,1,3,2,3,1,False
108,5,5,5,4,5,2,2,True
109,4,4,4,2,2,4,5,False
110,3,4,2,4,2,4,1,False
111,5,4,4,4,2,4,2,False
112,2,3,1,2,2,4,1,False
113,4,3,1,4,1,3,1,False
114,2,2,1,3,1,3,0,False
115,2,2,1,3,1,4,0,False
116,3,2,1,2,1,3,0,False
117,3,2,1,4,1,4,0,False
118,2,2,1,2,1,4,0,False
119,1,2,1,1,1,4,1,False
120,2,2,1,2,1,4,1,False
121,2,2,1,2,1,4,1,False
122,3,2,1,3,1,4,1,False
123,5,5,5,4,4,5,3,True
124,2,3,1,4,2,3,1,False
125,2,2,1,4,1,3,1,False
126,5,5,4,3,3,4,4,True
127,1,2,1,1,1,4,1,False
128,4,4,5,3,4,5,6,False
129,3,4,4,4,2,5,7,False
130,2,3,2,2,2,5,1,False
131,2,2,1,2,1,4,1,False
132,4,3,1,4,2,4,1,False
133,3,3,1,4,2,4,1,False
134,4,5,3,4,2,4,1,False
135,1,2,1,2,1,4,1,False
136,2,2,1,2,1,3,0,False
137,2,2,1,2,1,3,1,False
138,2,3,1,2,1,3,1,False
139,2,3,1,3,2,3,1,False
140,2,3,2,2,2,4,2,False
141,1,2,1,1,1,4,1,False
142,1,1,1,1,1,4,1,False
143,2,2,1,2,1,4,1,False
144,1,2,1,1,1,4,1,False
145,1,1,1,1,1,4,1,False
146,2,3,2,3,2,4,1,False
147,4,4,4,4,2,4,2,True
148,2,3,4,1,1,5,1,False
149,4,5,2,4,2,5,2,False
150,4,4,4,3,2,5,3,False
151,3,4,2,3,1,5,1,False
152,1,2,1,1,1,5,0,False
153,3,3,2,2,1,5,1,False
154,3,2,1,2,2,4,0,False
155,2,2,1,2,1,4,1,False
156,4,3,1,3,1,4,1,False
157,5,4,3,5,3,4,2,False
158,4,5,1,4,1,4,1,False
159,3,3,1,2,1,4,0,False
160,1,1,1,1,1,2,0,False
161,1,1,1,1,1,3,1,False
162,3,4,3,3,2,3,6,False
163,5,4,4,4,3,4,7,False
164,5,4,4,5,3,4,8,True
165,5,4,3,4,3,5,10,False
166,2,2,1,2,1,5,0,False
167,4,5,3,5,2,4,1,False
168,4,4,2,5,2,4,1,False
169,2,3,2,2,1,4,1,False
170,4,4,3,5,3,4,2,False
171,4,5,4,5,3,5,3,False
172,5,4,4,4,4,5,4,True
173,4,4,2,4,2,5,4,False
174,2,4,1,2,2,4,1,False
175,1,2,1,1,1,3,2,False
176,1,1,1,1,1,3,2,False
177,1,2,1,1,1,3,2,False
178,1,1,1,1,1,2,1,False
179,2,2,1,1,1,2,1,False
180,5,4,3,5,3,4,2,False
181,5,5,4,4,4,5,3,True
182,2,2,1,1,1,4,1,False
183,4,4,4,3,2,5,4,False
184,2,3,3,2,1,5,1,False
185,2,4,5,1,1,5,3,False
186,5,4,4,4,3,5,3,True
187,2,2,1,1,1,5,4,False
188,4,5,5,2,2,4,5,False
189,1,3,4,1,1,5,8,False
190,1,1,1,1,1,2,1,False
191,1,1,1,1,1,2,2,False
192,2,1,1,1,1,2,1,False
193,1,1,1,1,1,2,2,False
194,1,1,1,1,1,1,2,False
