scene_idx,tension_level,stakes_level,irreversibility_level,uncertainty_level,narrative_velocity,dependency_on_prior_scenes,resolution_progress,major_turning_point
0,1,1,1,1,1,1,0,False
1,1,1,1,1,1,1,0,False
2,3,2,2,3,2,1,0,False
3,5,4,4,5,4,1,6,True
4,5,5,4,5,5,2,7,True
5,1,1,1,1,1,1,0,False
6,3,3,1,3,4,1,1,False
7,2,2,2,2,2,4,1,False
8,1,1,1,1,1,1,0,False
9,2,2,1,2,2,3,1,False
10,1,1,1,2,1,3,0,False
11,1,1,1,2,1,3,0,False
12,2,2,1,3,1,4,1,False
13,2,1,1,2,1,4,0,False
14,2,2,1,3,1,3,0,False
15,2,2,1,2,1,3,1,False
16,4,4,5,3,4,4,2,False
17,1,1,1,1,1,2,0,False
18,3,3,1,3,2,3,1,False
19,1,1,1,1,1,2,0,False
20,1,2,3,1,1,4,2,False
21,2,2,1,2,2,3,1,False
22,4,4,5,4,3,4,2,True
23,2,1,1,1,2,2,0,False
24,2,2,1,2,2,3,1,False
25,3,2,1,3,2,2,1,False
26,2,2,1,2,2,4,2,False
27,4,4,5,3,3,3,3,True
28,2,2,1,3,1,2,1,False
29,2,1,1,4,1,1,0,False
30,5,4,3,4,4,4,2,False
31,2,2,1,2,1,4,1,False
32,1,1,1,1,1,1,0,False
33,5,5,3,4,4,3,2,True
34,4,4,4,2,4,4,3,False
35,1,1,1,1,1,2,0,False
36,4,3,2,4,2,4,2,False
37,2,2,1,2,1,4,1,False
38,2,1,1,1,1,4,1,False
39,1,1,1,1,1,4,1,False
40,5,5,4,3,4,4,3,False
41,1,1,1,1,1,5,0,False
42,2,2,1,3,1,5,1,False
43,3,3,1,2,2,4,2,False
44,1,1,1,1,1,2,0,False
45,2,2,1,3,1,5,0,False
46,3,3,2,3,2,4,2,False
47,1,1,1,1,1,1,0,False
48,2,2,1,2,2,3,1,False
49,2,2,1,2,3,3,1,False
50,5,5,4,4,5,4,2,False
51,1,1,1,1,1,4,0,False
52,4,5,4,4,3,4,2,False
53,1,2,1,1,2,3,1,False
54,5,4,2,5,2,4,1,False
55,5,4,1,5,1,4,0,False
56,5,4,3,4,2,4,2,False
57,2,1,1,2,1,3,0,False
58,5,5,4,5,3,4,2,True
59,5,5,4,5,4,4,3,True
60,3,4,3,3,1,5,1,False
61,4,5,4,4,2,4,3,False
62,2,3,1,2,1,4,1,False
63,1,1,1,2,1,3,1,False
64,1,1,1,1,1,4,0,False
65,5,5,4,3,3,5,4,True
66,1,1,1,1,1,4,0,False
67,2,2,1,2,1,4,1,False
68,1,1,1,2,1,4,0,False
69,2,2,1,3,1,4,1,False
70,2,3,2,3,1,4,1,False
71,2,2,1,3,1,4,1,False
72,2,2,1,4,1,4,1,False
73,2,2,1,4,1,4,1,False
74,2,2,1,4,1,4,1,False
75,2,2,1,4,1,4,1,False
76,2,2,1,4,1,4,1,False
77,2,2,1,2,2,4,1,False
78,5,4,3,5,3,4,3,False
79,3,3,1,2,2,4,1,False
80,5,5,2,5,2,4,2,False
81,3,4,2,4,3,5,1,False
82,1,1,1,1,1,5,0,False
83,1,2,1,1,2,4,0,False
84,1,1,1,1,1,3,0,False
85,4,3,1,4,1,4,1,False
86,3,3,1,3,1,4,1,False
87,4,3,2,4,1,4,1,False
88,5,5,3,4,3,4,2,False
89,4,3,1,5,1,4,1,False
90,3,5,5,2,4,4,4,True
91,3,4,4,2,4,4,7,False
92,4,5,4,5,3,4,4,False
93,5,5,4,4,4,4,3,True
94,4,4,2,5,1,5,1,False
95,1,1,1,1,1,2,0,False
96,4,4,3,3,4,4,6,False
97,2,2,1,1,3,4,2,False
98,2,2,2,1,3,4,4,False
99,2,3,2,2,2,4,3,False
100,1,1,1,1,1,4,0,False
101,2,2,1,2,2,4,1,False
102,1,1,1,1,1,4,2,False
103,1,2,1,1,2,4,2,False
104,5,5,4,5,4,4,2,False
105,1,1,1,1,1,5,0,False
106,1,1,1,1,1,5,1,False
107,5,4,4,4,4,5,3,True
108,4,4,4,4,3,5,2,False
109,3,5,4,4,2,5,3,False
110,5,4,4,4,2,5,4,False
111,3,3,2,2,1,5,1,False
112,2,3,2,2,1,5,1,False
113,2,2,1,2,1,5,1,False
114,2,3,2,2,1,5,1,False
115,4,4,4,2,2,5,1,False
116,4,4,5,3,1,5,2,False
117,2,2,1,2,1,5,1,False
118,5,4,3,5,2,5,2,False
119,3,3,4,3,1,5,1,False
120,5,4,2,5,2,5,1,False
121,5,5,4,5,2,5,2,True
122,5,5,5,5,2,5,3,False
123,5,5,4,5,1,5,1,False
124,5,5,2,5,2,5,2,False
125,4,4,3,4,1,5,0,False
126,2,3,1,2,2,5,1,False
127,5,5,5,4,1,5,1,False
128,4,4,2,5,1,5,1,False
129,5,5,2,4,2,5,1,False
130,5,5,5,4,4,5,3,True
131,4,5,4,3,1,5,4,False
132,5,5,4,4,4,5,2,True
133,4,5,5,2,1,5,5,False
134,4,5,4,3,2,5,8,False
135,5,5,3,4,3,5,9,True
136,4,5,4,2,3,5,9,True
