scene_idx,tension_level,stakes_level,irreversibility_level,uncertainty_level,narrative_velocity,dependency_on_prior_scenes,resolution_progress,major_turning_point
0,2,1,1,2,1,1,1,False
1,3,2,1,3,2,1,2,False
2,4,3,1,4,2,2,2,False
3,4,2,1,4,2,2,2,False
4,3,2,1,2,3,1,1,False
5,4,3,2,4,4,2,1,False
6,3,4,2,4,1,2,1,False
7,4,3,2,4,3,2,1,False
8,5,4,4,5,4,3,2,False
9,5,4,4,4,4,3,3,False
10,3,4,2,4,3,1,1,False
11,5,4,4,5,3,2,1,False
12,3,3,1,4,2,2,1,False
13,5,5,4,3,5,4,4,True
14,3,3,2,4,4,3,2,False
15,5,5,5,5,2,4,1,False
16,3,2,1,4,2,2,1,False
17,4,3,1,5,1,2,1,False
18,5,5,5,3,5,5,35,True
19,2,2,1,1,1,1,1,False
20,4,4,1,3,2,2,5,False
21,4,5,2,4,2,2,8,False
22,4,4,2,3,3,2,12,False
23,5,5,3,5,4,4,18,False
24,5,5,3,5,3,4,8,False
25,4,5,2,4,2,3,4,False
26,3,4,2,4,2,2,6,False
27,5,5,4,5,4,3,10,False
28,5,5,4,4,5,3,24,True
29,5,5,4,4,4,4,32,False
30,5,4,2,5,3,4,8,False
31,5,5,3,5,4,4,12,False
32,4,4,4,3,3,4,22,True
33,1,1,1,1,1,1,2,False
34,4,5,2,5,2,4,3,False
35,5,5,3,5,4,5,6,False
36,2,1,1,1,1,1,0,False
37,4,4,2,4,3,4,1,False
38,4,5,2,4,4,4,3,False
39,5,4,4,4,5,4,4,True
40,4,4,1,5,2,2,0,False
41,4,5,4,2,3,4,12,False
42,4,5,5,2,2,4,14,False
43,3,3,2,4,2,2,2,False
44,3,4,2,5,4,3,3,False
45,1,1,1,1,1,2,0,False
46,5,4,2,5,3,3,4,False
47,3,3,2,4,2,4,6,False
48,4,4,2,5,2,4,2,False
49,5,5,4,4,4,4,5,False
50,3,5,4,3,2,4,3,False
51,4,5,4,4,3,3,4,False
52,4,5,2,5,4,4,2,False
53,4,4,2,5,2,4,1,False
54,5,5,4,5,4,4,2,True
55,5,5,4,4,4,4,3,False
56,5,4,4,5,4,4,3,True
57,1,1,1,1,1,2,1,False
58,1,2,1,1,1,3,0,False
59,1,1,1,1,1,4,0,False
60,1,1,1,1,1,3,0,False
61,1,1,1,1,1,2,0,False
62,3,5,2,3,1,4,1,False
63,1,1,1,1,1,2,0,False
64,5,5,2,5,2,4,1,False
65,2,1,1,1,1,2,0,False
66,2,3,1,4,1,4,1,False
67,3,4,2,4,2,4,2,False
68,5,5,4,4,4,4,3,True
69,3,4,1,3,2,5,1,False
70,4,5,3,4,3,5,2,False
71,5,4,4,5,4,5,3,False
72,5,4,4,4,4,5,3,False
73,5,5,5,4,5,5,5,True
74,2,4,3,2,2,3,2,False
75,2,3,1,3,2,4,1,False
76,5,5,4,4,5,4,4,True
77,4,5,4,4,3,4,3,False
78,3,2,1,2,2,4,1,False
79,1,2,1,2,1,3,1,False
80,5,4,3,4,4,4,2,False
81,4,4,3,4,3,4,3,False
82,5,4,4,3,3,4,3,False
83,3,3,1,4,2,4,1,False
84,4,3,2,5,2,4,1,False
85,5,4,3,4,4,4,3,False
86,5,4,3,4,3,4,2,False
87,1,1,1,1,1,4,0,False
88,1,1,1,1,1,4,0,False
89,4,5,3,4,3,4,2,False
90,5,5,5,4,4,4,3,True
91,3,4,2,4,2,5,2,False
92,3,4,3,2,2,5,3,False
93,1,1,1,1,1,2,1,False
94,5,5,3,4,4,4,3,False
95,4,5,2,4,2,4,1,False
96,3,4,2,4,2,4,2,False
97,5,4,4,3,4,4,5,True
98,4,4,2,4,3,4,2,False
99,5,5,4,4,5,5,6,True
100,5,4,3,4,4,4,1,False
101,4,4,2,3,3,5,1,False
102,5,5,4,4,3,5,2,False
103,4,5,3,5,3,5,2,False
104,5,4,3,4,3,5,3,False
105,3,2,1,2,3,4,0,False
106,5,4,3,4,4,4,1,False
107,5,4,4,5,5,4,2,False
108,5,4,3,4,4,4,1,False
109,5,5,4,4,5,4,2,True
110,4,4,3,3,3,4,1,False
111,4,4,3,3,3,5,2,False
112,5,4,3,5,4,4,1,False
113,5,5,5,4,5,5,2,True
114,3,4,4,3,2,5,3,False
115,3,3,2,3,2,5,1,False
116,2,2,3,2,1,5,1,False
117,4,5,4,3,3,5,3,False
118,2,3,4,2,1,5,1,False
119,2,4,2,2,1,5,1,False
120,4,5,3,4,4,5,3,False
121,2,3,2,2,2,5,4,False
122,2,3,2,2,2,4,2,False
123,2,2,2,2,1,4,1,False
124,2,2,1,2,1,4,1,False
125,4,5,4,4,3,4,3,True
126,1,2,2,2,1,5,1,False
127,2,3,2,3,2,4,2,False
128,4,4,4,3,3,4,5,True
129,4,5,5,4,3,4,4,False
130,2,2,2,4,1,5,1,False
131,1,2,1,2,1,5,1,False
132,1,2,1,2,2,5,1,False
133,1,1,1,2,1,5,1,False
134,2,2,2,3,1,5,1,False
135,3,4,2,4,2,4,1,False
136,5,4,3,5,3,4,2,False
137,5,5,4,4,3,4,3,False
138,3,2,1,2,1,4,0,False
139,5,4,3,4,3,4,2,False
140,4,4,2,5,1,5,1,False
141,4,4,3,5,2,5,2,False
142,4,5,4,3,4,5,4,False
143,4,4,4,2,4,5,7,True
144,3,3,2,4,2,5,2,False
145,4,4,3,5,3,5,2,False
146,1,1,1,2,1,5,0,False
147,4,4,5,2,3,5,6,True
148,4,4,3,2,3,5,4,False
149,4,5,2,3,3,5,1,False
150,5,5,4,4,4,5,4,True
151,5,4,3,5,3,5,2,False
152,5,5,4,3,4,5,7,True
153,5,4,4,3,5,5,7,False
154,5,5,4,2,5,5,8,False
155,3,4,4,3,2,5,9,False
156,4,4,5,2,3,5,10,False
157,5,5,4,4,4,5,11,False
158,5,5,5,2,4,5,14,True
159,2,4,2,2,2,5,15,False
160,2,4,4,1,1,5,17,False
161,4,5,3,4,3,5,4,False
162,5,4,4,4,3,5,6,False
163,1,1,1,1,1,4,1,False
164,3,3,2,3,1,5,2,False
165,2,1,1,1,1,5,1,False
166,2,2,1,1,1,5,1,False
167,2,3,2,4,2,5,1,False
168,1,1,1,1,1,5,0,False
169,1,1,1,1,1,5,0,False
170,2,2,1,3,2,5,0,False
171,4,5,3,3,3,5,3,False
172,2,2,1,4,2,5,1,False
173,1,1,1,1,1,5,0,False
174,2,2,1,3,1,5,1,False
175,5,4,4,4,3,5,6,False
176,5,4,4,4,4,5,7,False
177,2,2,1,1,1,4,0,False
178,5,4,2,5,3,4,6,False
179,5,5,4,5,3,4,8,False
180,5,5,4,5,3,4,2,False
181,5,5,4,5,2,5,4,False
182,5,5,4,5,4,5,2,False
183,4,3,2,4,1,5,1,False
184,2,2,1,3,1,5,2,False
185,4,4,2,4,2,5,1,False
186,5,5,4,5,2,5,2,False
187,5,5,5,3,5,5,4,True
188,4,3,1,4,1,5,1,False
189,5,5,5,4,5,5,4,True
190,5,4,5,2,4,5,10,False
191,3,4,5,2,3,5,9,False
192,2,3,5,1,2,5,10,False
193,2,2,1,1,1,5,10,False
