scene_idx,tension_level,stakes_level,irreversibility_level,uncertainty_level,narrative_velocity,dependency_on_prior_scenes,resolution_progress,major_turning_point
0,2,1,1,2,1,1,0,False
1,3,2,2,2,2,1,1,False
2,3,2,4,2,1,3,1,False
3,3,3,2,2,1,4,1,False
4,3,3,2,2,2,4,1,False
5,1,1,1,2,1,4,1,False
6,2,2,3,2,1,5,1,False
7,2,3,1,3,1,4,1,False
8,4,3,1,4,2,4,1,False
9,5,4,2,5,4,4,1,False
10,4,3,1,4,1,5,1,False
11,3,3,1,3,2,2,1,False
12,2,2,1,2,2,4,1,False
13,1,1,1,1,1,1,0,False
14,5,4,3,3,3,2,5,False
15,3,3,2,3,2,3,8,False
16,5,5,3,5,4,2,10,False
17,5,5,4,4,5,3,12,False
18,4,4,1,5,2,3,4,False
19,5,5,3,4,5,2,6,False
20,5,5,3,4,2,4,5,False
21,5,5,3,5,4,4,3,False
22,4,4,3,5,5,5,4,False
23,4,3,2,2,5,5,6,False
24,4,3,4,2,5,5,7,False
25,3,3,2,2,3,4,8,False
26,3,4,3,2,4,4,10,False
27,5,4,3,3,4,4,13,False
28,4,5,2,4,3,4,2,False
29,5,4,4,4,3,4,3,False
30,5,5,4,3,5,4,14,True
31,5,4,4,4,5,4,12,False
32,5,5,4,4,4,4,11,False
33,5,5,4,5,4,4,10,False
34,4,4,3,4,2,5,8,False
35,5,4,3,4,4,5,10,False
36,3,4,2,4,1,5,2,False
37,5,4,5,4,4,5,14,True
38,1,1,1,1,1,1,0,False
39,4,5,3,5,2,4,1,False
40,2,3,1,3,2,4,4,False
41,5,5,4,5,4,4,12,True
42,2,2,1,3,2,4,5,False
43,5,4,4,4,4,4,18,True
44,4,3,2,4,2,5,3,False
45,4,3,1,5,2,5,2,False
46,4,5,2,5,2,4,5,False
47,5,5,5,4,5,4,8,True
48,5,5,2,5,3,4,4,False
49,5,4,3,5,3,4,3,False
50,5,5,3,5,4,4,2,False
51,5,5,4,4,4,4,3,False
52,4,5,4,4,5,4,4,False
53,4,5,4,4,4,4,5,True
54,5,5,4,5,3,5,6,False
55,5,5,4,5,4,5,2,False
56,5,5,4,4,5,5,3,False
57,5,5,3,5,2,5,1,False
58,4,5,5,4,3,5,3,False
59,5,5,4,4,4,5,4,False
60,4,4,3,4,1,5,1,False
61,4,5,2,4,2,5,1,False
62,5,5,4,4,3,5,2,False
63,2,2,1,3,1,5,1,False
64,4,4,2,3,1,5,1,False
65,4,4,2,4,1,5,1,False
66,4,5,3,4,2,5,2,False
67,5,5,4,4,3,5,3,False
68,5,5,3,4,3,5,4,False
69,5,5,4,5,4,5,5,False
70,5,5,3,5,4,4,2,False
71,5,4,4,5,4,3,2,True
72,5,5,5,3,5,4,8,True
73,5,5,4,4,4,5,3,False
74,3,4,4,4,2,5,4,False
75,4,4,4,3,5,5,7,True
76,5,5,2,5,4,4,3,False
77,2,3,1,3,2,4,2,False
78,4,3,2,5,2,4,1,False
79,5,4,5,3,3,4,2,True
80,5,5,2,5,2,5,1,False
81,5,4,3,5,3,5,2,False
82,5,5,2,5,2,5,1,False
83,4,3,1,5,2,4,1,False
84,4,5,3,2,2,4,1,False
85,5,5,4,4,4,4,2,True
86,5,4,4,4,3,5,2,False
87,5,5,3,4,3,4,2,False
88,5,5,4,5,3,4,2,False
89,5,5,4,5,4,4,3,False
90,4,4,4,4,5,4,4,False
91,4,4,5,3,4,4,6,True
92,5,4,1,5,1,5,1,False
93,1,1,1,1,1,4,0,False
94,5,4,4,5,3,3,2,False
95,4,4,5,3,4,4,6,True
96,1,1,1,2,1,3,0,False
97,5,4,5,5,2,4,2,True
98,5,4,4,4,4,4,3,False
99,5,4,4,4,4,5,1,False
100,5,5,5,5,5,5,7,True
101,4,4,2,5,2,5,2,False
102,4,3,1,5,2,5,1,False
103,5,5,5,5,5,5,3,True
104,2,4,1,4,1,5,2,False
105,2,3,1,4,1,5,1,False
106,4,5,4,2,3,5,8,False
107,4,5,5,4,4,5,9,False
108,3,4,2,3,2,5,1,False
109,5,4,3,5,4,5,1,False
110,5,5,5,4,5,5,6,True
111,4,5,5,1,5,5,9,False
112,3,2,1,2,1,5,1,False
113,4,5,5,2,3,5,4,False
114,3,4,2,2,3,5,6,False
115,5,5,5,1,5,5,10,True
