scene_idx,tension_level,stakes_level,irreversibility_level,uncertainty_level,narrative_velocity,dependency_on_prior_scenes,resolution_progress,major_turning_point
0,1,1,1,1,1,1,0,False
1,1,1,1,1,1,1,0,False
2,4,4,2,5,4,2,8,False
3,3,4,5,4,2,4,18,False
4,2,2,1,4,1,4,2,False
5,3,4,2,4,2,4,6,False
6,5,4,3,4,3,5,14,False
7,3,4,1,4,2,4,6,False
8,3,4,2,5,2,4,8,False
9,3,3,2,5,2,4,4,False
10,5,4,5,2,4,4,8,True
11,4,4,5,3,4,5,18,False
12,3,4,2,3,2,5,12,False
13,3,4,2,4,3,5,10,False
14,4,4,3,5,2,5,3,False
15,2,3,2,2,2,5,12,False
16,4,3,4,4,2,5,8,False
17,3,4,2,4,4,5,7,False
18,2,4,5,2,3,4,6,False
19,1,2,2,2,2,4,4,False
20,1,2,2,1,2,4,2,False
21,1,2,1,2,2,4,1,False
22,3,3,2,3,2,4,1,False
23,4,5,5,4,3,4,3,False
24,4,5,3,4,3,4,1,False
25,2,3,1,3,2,5,1,False
26,5,4,3,4,4,5,2,False
27,2,3,2,3,2,4,1,False
28,5,5,4,5,3,5,2,False
29,2,2,1,2,2,4,0,False
30,5,4,4,5,5,4,2,True
31,5,5,4,4,3,5,2,False
32,5,5,3,5,3,5,1,False
33,2,3,1,2,2,4,1,False
34,5,4,4,4,4,4,2,True
35,5,4,5,4,4,4,2,True
36,3,4,2,3,3,4,1,False
37,5,4,3,4,3,4,1,False
38,5,4,4,5,3,5,1,False
39,5,4,3,4,4,5,2,True
40,4,4,1,4,2,5,1,False
41,5,4,4,4,4,5,2,True
42,2,3,1,2,2,4,1,False
43,4,3,1,5,1,5,1,False
44,3,4,1,3,2,4,1,False
45,4,5,4,5,3,4,2,False
46,5,4,1,4,1,5,1,False
47,5,5,5,4,4,5,4,True
48,5,4,4,4,4,5,5,True
49,2,3,1,2,1,5,1,False
50,5,5,5,4,4,5,6,True
51,2,3,1,2,2,4,1,False
52,5,5,3,4,3,4,1,False
53,2,3,1,2,2,4,2,False
54,4,4,5,4,3,4,3,False
55,5,4,4,5,3,4,4,False
56,4,4,3,3,4,4,2,False
57,5,4,2,4,3,5,2,False
58,5,4,3,4,4,5,3,False
59,5,5,4,4,4,5,4,False
60,5,4,2,4,2,5,2,False
61,5,5,4,4,4,5,6,True
62,5,5,4,3,4,5,7,False
63,3,5,4,3,2,5,8,False
64,2,3,5,2,2,5,9,False
65,1,2,2,1,1,4,2,False
66,2,3,2,1,1,4,3,False
