scene_idx,tension_level,stakes_level,irreversibility_level,uncertainty_level,narrative_velocity,dependency_on_prior_scenes,resolution_progress,major_turning_point
0,1,1,1,1,1,1,0,False
1,1,1,1,1,1,1,0,False
2,3,3,2,3,2,1,4,False
3,4,3,2,4,2,2,1,False
4,5,4,4,5,3,3,10,False
5,5,4,4,5,3,4,12,True
6,5,5,5,4,4,4,18,False
7,5,5,4,4,4,4,22,False
8,3,3,2,3,2,4,3,False
9,4,3,2,4,2,4,4,False
10,5,5,4,3,4,4,8,False
11,2,2,1,2,2,3,5,False
12,1,1,1,1,1,3,2,False
13,1,2,1,1,1,4,2,False
14,2,3,1,2,2,4,1,False
15,3,3,2,2,2,4,2,False
16,4,3,2,4,3,4,2,False
17,1,2,1,1,1,4,1,False
18,1,1,1,1,1,4,1,False
19,3,4,2,3,2,4,2,False
20,4,3,1,5,3,4,1,False
21,5,4,3,4,4,4,2,False
22,3,4,2,3,2,4,2,False
23,1,2,1,1,1,4,1,False
24,1,2,2,1,1,4,2,False
25,2,2,1,1,1,4,1,False
26,1,2,1,1,1,4,1,False
27,4,4,2,4,3,4,1,False
28,4,3,1,4,2,4,1,False
29,5,4,2,5,3,4,1,False
30,4,3,1,2,3,4,2,False
31,2,2,1,2,3,4,2,False
32,4,3,2,4,2,4,1,False
33,5,4,4,5,4,4,2,False
34,4,5,4,4,4,5,3,False
35,4,5,3,4,2,5,4,False
36,5,5,3,5,4,4,1,False
37,5,5,4,3,4,4,3,True
38,2,3,1,2,2,4,1,False
39,3,3,1,3,2,4,1,False
40,5,5,4,4,4,4,3,True
41,4,4,4,2,5,5,2,False
42,5,5,4,4,5,5,3,True
43,3,3,1,2,1,4,1,False
44,2,2,1,2,1,4,2,False
45,2,2,1,2,1,4,2,False
46,4,3,1,4,2,4,1,False
47,3,3,1,3,2,4,1,False
48,5,4,4,4,3,4,2,False
49,3,4,2,3,2,4,1,False
50,2,3,1,2,2,3,1,False
51,1,2,1,2,1,3,1,False
52,1,2,1,1,1,3,0,False
53,1,1,1,1,1,3,0,False
54,1,2,1,1,1,3,1,False
55,5,5,4,5,3,4,3,False
56,4,4,2,5,2,4,1,False
57,4,5,2,5,2,4,1,False
58,5,5,2,5,2,4,2,False
59,5,5,4,5,3,4,2,False
60,5,4,3,5,2,4,2,False
61,3,4,2,2,4,4,3,False
62,4,4,4,3,4,4,4,True
63,4,5,3,4,2,5,2,False
64,2,4,2,3,2,4,1,False
65,4,5,5,4,3,4,3,False
66,1,2,1,1,2,3,2,False
67,2,2,1,2,2,3,1,False
68,2,2,1,1,1,3,1,False
69,3,3,1,2,1,4,1,False
70,1,1,1,1,1,2,0,False
71,5,4,4,3,4,4,5,True
72,5,5,4,3,4,4,6,False
73,5,5,4,3,2,5,7,False
74,5,5,4,3,4,5,10,True
75,3,4,5,2,2,5,14,False
76,2,4,5,2,2,5,4,False
77,4,5,5,4,2,5,3,False
78,3,4,2,3,2,5,5,False
79,2,2,1,3,2,4,1,False
80,2,4,2,4,2,4,6,False
81,3,4,3,4,2,4,2,False
82,3,4,3,4,2,4,3,False
83,2,2,1,2,2,4,2,False
84,5,5,4,4,5,4,6,True
85,5,5,4,4,4,5,5,False
86,2,3,4,2,3,5,4,False
87,2,3,3,2,2,5,2,False
88,5,4,3,4,4,5,3,False
89,2,4,1,2,1,5,1,False
90,5,3,2,4,2,4,1,False
91,5,4,2,5,2,4,1,False
92,5,4,2,5,1,5,1,False
93,5,3,2,3,1,5,2,False
94,5,5,4,4,4,5,2,True
95,5,5,4,5,3,5,2,False
96,5,5,4,5,3,5,3,False
97,4,4,2,4,2,5,1,False
98,5,5,3,5,3,5,2,False
99,5,5,4,4,4,5,4,True
100,4,4,5,3,4,5,5,True
101,4,4,3,4,2,5,1,False
102,4,5,5,3,4,5,7,True
103,3,5,4,4,2,5,8,False
104,4,5,3,5,2,5,1,False
105,4,4,2,5,2,5,1,False
106,4,4,2,5,2,5,2,False
107,4,4,2,5,2,5,2,False
108,4,4,2,5,1,5,2,False
109,5,5,4,2,5,5,4,True
110,5,5,5,4,5,5,6,True
111,3,4,2,4,3,5,7,False
112,4,5,4,4,4,5,8,False
113,5,5,4,4,2,5,1,False
114,4,5,4,3,5,5,8,True
115,5,5,5,4,4,5,2,True
116,4,5,3,5,2,5,1,False
117,5,4,3,4,4,5,1,False
118,3,3,1,2,2,5,0,False
119,5,4,3,4,3,5,2,False
120,5,4,3,4,4,5,1,False
121,4,4,5,2,1,5,1,False
122,5,5,3,4,4,5,2,False
123,5,5,4,4,3,5,1,False
124,5,5,3,5,4,5,1,False
125,5,5,2,4,3,5,1,False
126,5,5,3,5,3,5,1,False
127,5,5,2,4,1,5,1,False
128,5,5,3,4,3,5,2,False
129,5,5,5,4,5,5,4,True
130,5,5,5,4,5,5,8,True
131,5,5,4,4,4,5,2,False
132,5,5,5,2,5,5,10,True
133,3,5,5,1,4,5,9,False
134,1,2,4,1,1,5,100,False
135,1,1,2,1,1,5,100,False
136,1,1,1,1,1,5,98,False
137,1,1,2,1,1,5,100,False
138,1,1,5,1,1,5,100,False
