scene_idx,tension_level,stakes_level,irreversibility_level,uncertainty_level,narrative_velocity,dependency_on_prior_scenes,resolution_progress,major_turning_point
0,1,1,1,1,1,1,0,False
1,1,2,1,2,2,1,1,False
2,1,1,1,1,2,2,1,False
3,2,2,1,2,3,2,1,False
4,2,1,1,2,2,2,1,False
5,1,2,1,2,2,3,1,False
6,2,2,1,2,2,3,1,False
7,5,5,3,5,4,3,2,False
8,5,5,3,5,4,4,3,False
9,5,5,3,5,3,4,2,False
10,4,4,2,4,3,4,2,False
11,4,4,5,3,3,4,2,False
12,2,2,1,2,1,2,1,False
13,3,2,2,3,2,1,4,False
14,5,5,4,4,4,4,3,True
15,4,4,3,3,3,4,2,False
16,3,2,1,4,2,3,1,False
17,3,3,1,3,1,2,1,False
18,3,3,1,3,2,2,1,False
19,5,4,4,4,4,3,2,False
20,2,2,1,2,1,3,1,False
21,4,4,3,2,2,4,1,False
22,3,3,2,3,2,2,1,False
23,2,2,1,2,1,3,1,False
24,3,4,2,3,2,3,1,False
25,4,4,3,4,2,3,1,False
26,3,3,1,3,1,4,1,False
27,3,3,1,2,2,3,1,False
28,5,4,2,5,2,4,1,False
29,4,3,2,4,2,4,1,False
30,3,3,1,3,1,3,1,False
31,5,5,4,4,3,4,2,False
32,5,5,4,4,3,4,2,False
33,4,4,4,3,3,4,3,False
34,4,4,3,4,3,4,4,False
35,4,3,2,3,2,5,1,False
36,4,4,2,4,3,5,2,False
37,5,5,4,3,4,5,4,True
38,5,5,4,3,5,5,5,True
39,5,5,4,4,4,5,6,False
40,2,2,1,3,2,3,1,False
41,5,5,4,4,3,3,2,True
42,5,4,4,4,4,3,2,True
43,4,4,4,3,3,5,4,False
44,4,5,3,4,3,4,5,False
45,1,2,1,1,2,4,1,False
46,2,2,1,2,2,4,1,False
47,5,4,4,4,4,4,6,False
48,3,4,1,4,2,4,1,False
49,4,4,3,5,3,5,4,False
50,4,4,3,4,3,5,5,False
51,5,5,2,4,3,5,6,False
52,4,4,2,5,2,5,1,False
53,2,3,1,4,2,4,2,False
54,2,2,1,3,2,4,1,False
55,5,5,4,3,4,5,3,False
56,3,4,2,3,2,4,1,False
57,5,4,3,2,3,4,2,False
58,5,5,4,4,3,5,3,False
59,5,5,4,4,4,5,4,False
60,4,5,3,3,3,5,2,False
61,3,3,2,3,2,5,1,False
62,5,5,4,4,5,5,2,True
63,5,5,4,4,4,5,3,False
64,5,5,5,4,4,5,5,True
65,5,5,5,2,4,5,7,True
66,5,5,5,3,3,5,8,False
67,3,3,1,5,2,4,1,False
68,4,4,2,5,2,4,1,False
69,4,5,2,4,3,4,3,False
70,4,4,3,3,4,4,2,False
71,3,4,3,2,4,4,4,False
72,5,5,5,4,5,4,6,True
73,4,5,4,4,2,5,2,False
74,5,5,1,5,2,5,1,False
75,5,5,4,4,4,5,2,False
76,5,5,4,4,3,5,2,False
77,3,3,2,4,1,5,1,False
78,2,2,1,3,1,5,0,False
79,4,4,3,3,1,5,1,False
80,5,4,4,4,4,5,2,False
81,4,5,4,4,1,5,1,False
82,5,5,4,4,4,5,3,True
83,5,5,5,1,5,5,10,True
84,3,5,5,1,2,5,9,False
85,4,5,5,1,3,5,10,False
86,2,2,1,1,1,5,10,False
